plaka=1 ad=Adana enlem=37.0 boylam=35.3213 komsular=31,80,46,38,51,33
plaka=54 ad=Sakarya enlem=40.694 boylam=30.4358 komsular=81,14,11,16,41
plaka=55 ad=Samsun enlem=41.2928 boylam=36.3313 komsular=52,60,5,19,57
plaka=56 ad=Siirt enlem=37.9333 boylam=41.95 komsular=65,13,72,47,73
plaka=57 ad=Sinop enlem=42.0231 boylam=35.1531 komsular=55,19,37
plaka=58 ad=Sivas enlem=39.7477 boylam=37.0179 komsular=38,46,44,24,28,52,60,66
plaka=59 ad=Tekirdağ enlem=40.9833 boylam=27.5167 komsular=34,39,22,17
plaka=60 ad=Tokat enlem=40.3167 boylam=36.55 komsular=58,52,55,5,66
plaka=61 ad=Trabzon enlem=41.0015 boylam=39.7178 komsular=53,69,29,28
plaka=62 ad=Tunceli enlem=39.1074 boylam=39.6388 komsular=23,12,24
plaka=63 ad=Şanlıurfa enlem=37.1591 boylam=38.7969 komsular=27,2,21,47
plaka=64 ad=Uşak enlem=38.6823 boylam=29.4082 komsular=45,20,3,43
plaka=65 ad=Van enlem=38.4891 boylam=43.4089 komsular=30,73,56,13,4
plaka=66 ad=Yozgat enlem=39.8181 boylam=34.8147 komsular=38,58,60,5,19,71,40,50
plaka=67 ad=Zonguldak enlem=41.4564 boylam=31.7987 komsular=74,14,81,78
plaka=68 ad=Aksaray enlem=38.3687 boylam=34.037 komsular=51,50,40,6,42
plaka=69 ad=Bayburt enlem=40.2552 boylam=40.2249 komsular=24,25,53,61,29
plaka=70 ad=Karaman enlem=37.1759 boylam=33.2287 komsular=33,42,7
plaka=71 ad=Kırıkkale enlem=39.8468 boylam=33.7153 komsular=40,66,19,18,6
plaka=72 ad=Batman enlem=37.8812 boylam=41.1351 komsular=47,56,13,49,21
plaka=73 ad=Şırnak enlem=37.4187 boylam=42.4918 komsular=47,56,65,30
plaka=74 ad=Bartın enlem=41.5811 boylam=32.461 komsular=37,67,78
plaka=75 ad=Ardahan enlem=41.1105 boylam=42.7022 komsular=36,25,8
plaka=76 ad=Iğdır enlem=39.888 boylam=44.0048 komsular=4,36
plaka=77 ad=Yalova enlem=40.65 boylam=29.2667 komsular=41,16
plaka=78 ad=Karabük enlem=41.2061 boylam=32.6204 komsular=67,74,37,18,14
plaka=79 ad=Kilis enlem=36.5184 boylam=37.1212 komsular=27
plaka=80 ad=Osmaniye enlem=37.013 boylam=36.1763 komsular=27,46,1,31
plaka=81 ad=Düzce enlem=40.8438 boylam=31.1565 komsular=67,14,54
